"location_name","avg_CO","avg_NO2","avg_SO2","avg_PM2.5","avg_PM10","avg_concentration"
"Jakarta",14247.5808571429,101.011904761905,50.3595238095238,613.152380952381,779.995238095238,3158.41998095238
"Bangkok",3399.7,41.7761904761905,39.3690476190476,138.02380952381,176.595238095238,759.092857142857
"Kuala Lumpur",3467.72380952381,50.8166666666667,37.9142857142857,103.919047619048,125.32619047619,757.14
"Santiago",2545.68095238095,50.2357142857143,15.1333333333333,163.966666666667,203.295238095238,595.662380952381
"New Delhi",2185.26666666667,34.7380952380952,24.7071428571429,178.719047619048,225.359523809524,529.758095238095
"Addis Ababa",1874.05,8.58095238095238,2.31190476190476,68.4690476190476,190.271428571429,428.736666666667
"Beijing",1516.34761904762,43.7761904761905,48.3214285714286,191.892857142857,227.466666666667,405.560952380952
"Quito",1705.80952380952,68.5,32.7642857142857,24.8309523809524,27.5952380952381,371.9
"Kathmandu",1516.98333333333,17.0071428571429,5.13095238095238,75.3761904761905,94.6595238095238,341.831428571429
"Ouagadougou",1458.97142857143,9.44761904761905,3.4,61.7880952380952,89.3428571428571,324.59
